聴力単語,平仮名,意味,词频
見渡す,みわたす,远望，具望，展望。,中
無理,むり,无理，不讲理。,中
メール,めーる,邮件,中
メモ,めも,备忘录；笔记,中
ロボット,ろぼっと,机器人,中
意欲,いよく,热情,中
応募者,おうぼしゃ,应募者；应征者；认购者,中
科目,かもく,项目，条款。,中
改善,かいぜん,～,中
患者,かんじゃ,～,中
機械,きかい,～,中
規模,きぼ,～,中
記録,きろく,～,中
勤務,きんむ,就职，工作，职务。,中
空き,あき,空缺；空闲,中
建て替え,たてかえ,改建,中
絞る,しぼる,榨；挤；拧,中
購入,こうにゅう,～,中
高齢,こうれい,～,中
載せる,のせる,放，搁；托。记载，载入；登载,中
際に,さいに,紧要关头,中
雑草,ざっそう,～,中
施設,しせつ,～,中
取り組む,とりくむ,着手，对付，解决，应对。较量,中
製品,せいひん,制品，产品，成品。,中
打合せ,うちあわせ,讨论会，事先商量，碰头,中
仲間,なかま,同志，朋友，伙伴,中
提出,ていしゅつ,～,中
都合,つごう,准备；安排；情况，障碍，机会,中
導入,どうにゅう,～,中
把握,はあく,握紧,中
売却,ばいきゃく,卖掉，销售，变卖,中
負担,ふたん,～,中
部下,ぶか,～,中
分野,ぶんや,领域，范围，战线，方面，岗位。,中
有効,ゆうこう,～,中
予算,よさん,～,中
アイディア,あいでぃあ,主意；想法,
敢えて,あえて,敢于,
アクセス,あくせす,访问,
足腰,あしこし,腰脚,
預かり,あずかり,收存；保管,
アルバイト,あるばいと,打工,
いい加減,いいかげん,适可而止，不过分,
意外,いがい,～,
生かす,いかす,使其发挥作用；使其继续生存,
一応,いちおう,大致，大体；首先；暂且,
一言,いちげん,～,
一目,いちもく,～,
田舎,いなか,乡下；农村,
イメージ,いめーじ,形象；心象；意象；图像，影像,
癒す,いやす,治愈,
インストール,いんすとーる,安装,
引退,いんたい,引退，退职。,
ウェブ,うぇぶ,网，网络，万维网,
ウェブサイト,うぇぶさいと,网站，网络站点,
打ち上げ,うちあげ,发射。演出结束。,
腕,うで,～,
生まれる,うまれる,诞生，产生。,
運用,うんよう,运用，活用。,
演劇,えんげき,演剧，戏剧。,
遠方,えんぽう,～,
往復,おうふく,来往，往返。,
驚い,おどろい,吃惊,
開催,かいさい,举办,
解説,かいせつ,～,
開拓,かいたく,开垦；开荒,
開発,かいはつ,～,
書き入れる,かきいれる,填入,
過去,かこ,过去，从前。,
貸す,かす,借出；借给,
片道,かたみち,单程,
価値,かち,～,
株価,かぶか,股票价格,
カラオケ,からおけ,伴唱机，卡拉OK。,
観光,かんこう,～,
鑑賞,かんしょう,～,
関心,かんしん,～,
関する,かんする,有关,
鑑定,かんてい,～,
芳しい,かんばしい,芬芳,
機械,きかい,～,
競う,きそう,竞争；争夺；竞赛,
鍛える,きたえる,锻造，打制，锤炼。,
貴重,きちょう,～,
キャッチボール,きゃっちぼーる,投接球练习，投球戏。,
キャリア,きゃりあ,职业。履历，比赛经历,
休養,きゅうよう,～,
業績,ぎょうせき,～,
競争,きょうそう,～,
業務,ぎょうむ,～,
筋肉,きんにく,肌肉，筋肉。,
クイズ,くいず,猜谜,
工夫,くふう,想办法,
クリア,くりあ,清除,
グループ,ぐるーぷ,组合,
景色,けしき,～,
研修,けんしゅう,～,
建設,けんせつ,～,
検討,けんとう,讨论，探讨，研究。,
コインロッカー,こいんろっかー,投币式自动存放柜,
行為,こうい,～,
効果,こうか,～,
広告,こうこく,～,
交代,こうたい,交替，轮流，替换。,
好調,こうちょう,顺利，情况良好。,
候補,こうほ,～,
恒例,こうれい,惯例；常规,
高齢,こうれい,～,
コース,こーす,道路，路线,
コーナー,こーなー,角，拐角，角落,
異なる,ことなる,不同，不一样。,
コピー,こぴー,复制,
コマーシャル,こまーしゃる,商业的，商务的；商业广告,
コミュニケーション,こみゅにけーしょん,沟通，交流；通信，报导。,
コントロール,こんとろーる,管控，控制,
サークル,さーくる,圆圈；圆周；小组，班,
災害,さいがい,～,
最適,さいてき,最适，最适合，最适度,
栽培,さいばい,～,
冴える,さえる,寒冷,
避ける,さける,躲开,
誘って,さそって,邀请,
雑貨,ざっか,～,
差別,さべつ,～,
斬新,ざんしん,～,
山頂,さんちょう,～,
仕方,しかた,方法,
資源,しげん,～,
システム,しすてむ,系统,
辞退,じたい,～,
下書,したがき,草稿；底稿,
実際,じっさい,～,
シフト,しふと,换档,
市役所,しやくしょ,市政府,
若干,じゃっかん,多少。若干。几多。,
ジャム,じゃむ,果（子）酱。,
集中,しゅうちゅう,～,
収容,しゅうよう,～,
受賞,じゅしょう,获奖；得奖,
主役,しゅやく,主要人物。主角。,
種類,しゅるい,～,
順位,じゅんい,名次，位次，席次，等级。,
瞬間,しゅんかん,～,
準備,じゅんび,～,
常識,じょうしき,～,
上昇,じょうしょう,上升,
状態,じょうたい,～,
衝動,しょうどう,打击，震惊。冲动。,
書体,しょたい,字体，笔体。,
自立,じりつ,自立，独立,
親戚,しんせき,～,
スカーフ,すかーふ,围巾,
スケジュール,すけじゅーる,日程表,
勧める,すすめる,劝，劝告，劝诱。,
スポーツジム,すぽーつじむ,健身房，体育馆。,
精一杯,せいいっぱい,竭尽全力,
製作,せいさく,制造,
生鮮,せいせん,新鲜,
清掃,せいそう,打扫,
世帯,せたい,家庭，,
せっかく,せっかく,煞费苦心，特意。难得。,
絶景,ぜっけい,绝景，绝佳景色。,
セミナー,せみなー,研讨会。,
セリフ,せりふ,台词,
戦略,せんりゃく,～,
洗練,せんれん,洗练；精炼,
沿う,そう,沿着,
即断,そくだん,立即决定,
損傷,そんしょう,～,
退屈,たいくつ,无聊，闷；寂寞；厌倦。,
対策,たいさく,～,
代替,だいたい,～,
経った,たった,过了,
打破,だは,～,
多様,たよう,多种多样,
嘆,たん,叹气,
チーム,ちーむ,～,
チェック,ちぇっく,～,
注目,ちゅうもく,～,
直感,ちょっかん,～,
突き止める,つきとめる,追究，彻底查明。找到，查明,
提案,ていあん,～,
抵抗,ていこう,～,
程度,ていど,～,
低迷,ていめい,低垂；弥漫；低迷,
テーマ,てーま,主题,
都会,とかい,城市,
特殊,とくしゅ,～,
独立,どくりつ,～,
とにかく,とにかく,总之,
徒歩,とほ,～,
泊り,とまり,住宿,
トラック,とらっく,卡车,
トラブル,とらぶる,纠纷，纠葛;纷争;麻烦。,
なかなか,なかなか,颇，很，非常，相当。,
仲間,なかま,同志，朋友，伙伴,
農家,のうか,～,
残る,のこる,～,
把握,はあく,握紧,
ハイキング,はいきんぐ,郊游，远足,
媒体,ばいたい,媒介物，手段，,
バイト,ばいと,字节，位组,
俳優,はいゆう,演员,
配列,はいれつ,排列。,
挟む,はさむ,插入；夹住；隔；插（话）,
果たす,はたす,完全……；彻底……，完成,
パッケージ,ぱっけーじ,包装。,
発見,はっけん,～,
伐採,ばっさい,～,
発送,はっそう,～,
発電,はつでん,～,
発売,はつばい,卖，发售，出售,
バランス,ばらんす,平衡，平均，均衡。,
反対,はんたい,～,
晩年,ばんねん,～,
販売,はんばい,～,
日帰り,ひがえり,当天去当天回。,
比較,ひかく,～,
惹かれる,ひかれる,心被吸引了,
引き換え,ひきかえ,交换，兑换，更换,
引き取り,ひきとり,退回，退出，领取，取回,
ピックアップ,ぴっくあっぷ,拾起，选出。,
引っ越し,ひっこし,搬家,
評価,ひょうか,～,
敏感,びんかん,～,
品種,ひんしゅ,～,
ファイル,ふぁいる,～,
ファミリー,ふぁみりー,家族,
フォーム,ふぉーむ,形式，样式，型。姿势。,
ぶつかる,ぶつかる,碰，撞。猛地接触上。,
麓,ふもと,山脚,
ブランド,ぶらんど,牌子，商标。,
振り方,ふりかた,处置，对待（方法）,
プロジェクター,ぷろじぇくたー,投影机，放映机；放画器，幻灯,
プロジェクト,ぷろじぇくと,企划。设计。开发项目。,
ブロック,ぶろっく,块，堆。街区，地段。,
フロント,ふろんと,正面，前面,
雰囲気,ふんいき,气氛，空气。,
平気,へいき,冷静。不在乎，不介意,
ベテラン,べてらん,老手，老把式，老练的人。,
ホーム,ほーむ,站台，月台。家,
保護,ほご,～,
ポスター,ぽすたー,广告画,
掘る,ほる,挖掘,
本格,ほんかく,原则，正规，规范,
まとめる,まとめる,汇集，集中；整理，总结,
間に合う,まにあう,～,
マラソン大会,まらそんたいかい,马拉松大会,
見学,けんがく,～,
魅力,みりょく,～,
向き合う,むきあう,相对，相向，面对面,
メーカー,めーかー,制造厂，厂商；制造者。,
目指す,めざす,目标,
珍しい,めずらしい,罕见,
メッセージ,めっせーじ,信息,
目につく,めにつく,引人注目,
メリット,めりっと,好处,
面倒,めんどう,麻烦,
モデル,もでる,模型,
薬品,やくひん,～,
役割,やくわり,分配的（任务），担当的职务。,
養う,やしなう,养育,
野生,やせい,～,
優勝,ゆうしょう,～,
用意,ようい,～,
余計,よけい,多余，剩下。,
喜び,よろこび,喜悦,
来期,らいき,下期,
ライバル,らいばる,竞争对手,
ラジオ,らじお,～,
リーダー,りーだー,指导者；干部；先驱,
リスト,りすと,名簿，名单；表，目录，一览表。,
利点,りてん,优点,
ルール,るーる,规则，章程。,
レシート,れしーと,收款条，收条，收据。,
連休,れんきゅう,～,
ロープウエー,ろーぷうえー,索道，钢丝索道，空中吊车,
脇,わき,腋下；胳膊窝,
悪質,あくしつ,质量坏；粗劣,
安心,あんしん,～,
案内,あんない,引导，向导；导游,
異動,いどう,调动,
育てる,そだてる,培育；教育；发展。,
一途,いちず,一心一意；专心,
一方で,いっぽうで,一方面,
一連,いちれん,一连串,
印象,いんしょう,印象,
運ぶ,はこぶ,搬运，运送。,
運転,うんてん,开，驾驶，运转,
栄養,えいよう,～,
演じる,えんじる,表演；扮演,
演劇,えんげき,演剧，戏剧。,
汚れる,よごれる,污染。失去贞操。,
応援,おうえん,支援，援助，救援。,
価格,かかく,～,
加える,くわえる,加上,
果たす,はたす,完全……；彻底……，完成,
過程,かてい,～,
会計,かいけい,～,
解決,かいけつ,～,
快適,かいてき,舒适,
開発,かいはつ,～,
外見,がいけん,外表,
確保,かくほ,～,
隔週,かくしゅう,每隔一周，隔周,
学部,がくぶ,日本旧制大学的本科,
割安,わりやす,价钱比较便宜。,
活用,かつよう,有效地利用；正确地使用,
刈る,かる,割掉,
緩和,かんわ,～,
観客,かんきゃく,观众,
危険,きけん,～,
危惧,きぐ,畏惧；担心,
期間,きかん,～,
機能,きのう,机能；功能；作用,
議題,ぎだい,议题，讨论题目。,
議論,ぎろん,议论，争辩。,
喫茶店,きっさてん,茶馆，咖啡馆。,
休暇,きゅうか,休假,
窮屈,きゅうくつ,瘦小；狭窄；紧,
距離,きょり,～,
協力,きょうりょく,～,
恐れる,おそれる,害怕；恐怕,
業務,ぎょうむ,～,
筋書,すじがき,情节；概要,
緊張,きんちょう,～,
近頃,ちかごろ,近来;万分;非常,
近隣,きんりん,近邻，邻近,
具合,ぐあい,情况,
空間,くうかん,～,
空港,くうこう,机场,
契約,けいやく,～,
計画,けいかく,～,
警告,けいこく,～,
軽減,けいげん,减轻,
劇場,げきじょう,～,
劇団,げきだん,～,
穴,あな,孔，眼；洞，缺点；漏洞,
結局,けっきょく,～,
結構,けっこう,结构；布局,
建築,けんちく,～,
検討,けんとう,讨论，探讨，研究。,
見積もる,みつもる,估计，估算，折合,
見定める,みさだめる,看准；看清,
原稿,げんこう,～,
減少,げんしょう,～,
現状,げんじょう,～,
誤操作,ごそうさ,～,
交替,こうたい,～,
公開,こうかい,～,
効果,こうか,～,
効率,こうりつ,～,
厚生,こうせい,提高生活；增进健康；保健,
口頭,こうとう,口头（表达）,
工事,こうじ,工程，工事，施工,
広げる,ひろげる,扩大,
構築,こうちく,构筑，建筑。,
高額,こうがく,～,
合唱,がっしょう,～,
豪快,ごうかい,豪爽；豪迈,
克服,こくふく,～,
根本,こんぽん,根本，根源。,
混ざる,まざる,搀混，搀杂，混杂,
混雑,こんざつ,混乱；混杂,
些細,ささい,琐碎,
座席,ざせき,～,
財政,ざいせい,～,
策,さく,计策,
賛成,さんせい,～,
賛同,さんどう,～,
酸味,さんみ,～,
至る,いたる,至，到。至于，达到,
資格,しかく,～,
飼う,かう,养,
事実,じじつ,～,
事態,じたい,～,
持ち方,もちかた,拿法。,
時期,じき,～,
自体,じたい,本身,
自宅,じたく,家,
実現,じつげん,～,
実際,じっさい,～,
弱点,じゃくてん,～,
主題,しゅだい,～,
守る,まもる,看守；守护,
手頃,てごろ,适手。适合，适称,
手当,てあて,预备，准备，治疗,
手配,てはい,安排,
収穫,しゅうかく,～,
収集,しゅうしゅう,收集,
集計,しゅうけい,～,
重なる,かさなる,重叠。,
重視,じゅうし,～,
出費,しゅっぴ,开支，支出，开销,
準備,じゅんび,～,
順番,じゅんばん,顺序，次序；轮班，轮流,
商談,しょうだん,～,
色合い,いろあい,色调,
信号,しんごう,～,
心構え,こころがまえ,精神准备，思想准备。,
心配,しんぱい,担心，不安，操心,
新た,あらた,新的，首次。,
申し込む,もうしこむ,提议，申请，要求。预约。,
真実,しんじつ,～,
親しい,したしい,亲近,
親近感,しんきんかん,～,
診察,しんさつ,～,
進行,しんこう,进行；发展,
進歩,しんぽ,进步，事物逐渐好转,
人柄,ひとがら,人品；人格；品质,
是正,ぜせい,订正；更正；矫正；纠正,
制限,せいげん,限制,
石段,いしだん,石阶,
設置,せっち,设置；安装。,
設定,せってい,～,
先約,せんやく,以前的诺言，以前的约定,
戦略,せんりゃく,～,
組織,そしき,～,
創造,そうぞう,～,
想定,そうてい,～,
相槌,あいづち,随声附和,
総合,そうごう,～,
多発,たはつ,～,
体験,たいけん,～,
待合室,まちあいしつ,等候室。,
達する,たっする,到达,
担当,たんとう,～,
段階,だんかい,～,
知識,ちしき,～,
池,いけ,池塘,
置き,おき,每间隔，每隔。,
抽選,ちゅうせん,～,
挑戦,ちょうせん,～,
聴講,ちょうこう,～,
調子,ちょうし,程度，情况。状况，样子,
調整,ちょうせい,～,
直前,ちょくぜん,～,
追跡,ついせき,～,
提示,ていじ,～,
撤去,てっきょ,撤除；拆除,
展開,てんかい,～,
添付,てんぷ,附加,
登録,とうろく,登记，注册。,
度胸,どきょう,胆量；气魄,
土砂,どしゃ,～,
投げる,なげる,投，抛，扔，掷；摔；,
統合,とうごう,合并,
踏まえる,ふまえる,作为根据，踏；踩。,
踏み間違い,ふみまちがい,踩错,
透明,とうめい,～,
同僚,どうりょう,同事,
読み直す,よみなおす,重读。,
入念,にゅうねん,细心，仔细，精心,
認識,にんしき,～,
年寄,としより,年老,
能力,のうりょく,～,
配収,はいしゅう,配收,
配属,はいぞく,分配,
売上,うりあげ,交易金额，营业额,
迫る,せまる,强迫；迫使,
発揮,はっき,发挥,
発色,はっしょく,发色；生色,
発想,はっそう,想出，主意。表达，表现,
発展,はってん,～,
伴う,ともなう,伴随,
反対,はんたい,～,
犯人,はんにん,～,
販売,はんばい,～,
備えて,そなえて,准备；预备,
品種,ひんしゅ,～,
不安,ふあん,～,
付き合い,つきあい,交际，交往，来往,
浮かぶ,うかぶ,浮；漂；飘；漂浮；飘浮,
舞台,ぶたい,～,
部署,ぶしょ,工作岗位；职守,
福利,ふくり,～,
分限,ぶんげん,身份，财产，有钱人。,
紛失,ふんしつ,遗失，丢失，失落。,
聞き取り,ききとり,听取,
保護,ほご,～,
歩道,ほどう,人行道,
補い合える,おぎないあえる,相辅相成,
補強,ほきょう,增强；强化,
補助,ほじょ,～,
募集,ぼしゅう,～,
方策,ほうさく,方策，方略,
方針,ほうしん,～,
埋める,うめる,填，埋，放入坑中覆盖,
慢性,まんせい,～,
無理,むり,无理，不讲理。,
無料,むりょう,免费,
面談,めんだん,～,
目通し,めとおし,过目,
役割,やくわり,分配的（任务），担当的职务。,
勇気,ゆうき,～,
郵送,ゆうそう,～,
様子,ようす,情况。举止，神态,
旅先,たびさき,旅途,
連動,れんどう,联锁，联动，传动,
老朽化,ろうきゅうか,老旧,
話題,わだい,～,
話題,わだい,～,
躊躇,ちゅうちょ,踌躇；犹豫,
