単語,平仮名,意味,词频
品種,ひんしゅ,～,中
不得手,ふえて,不擅长、不拿手。,中
浮かぶ,うかぶ,浮；漂；飘；漂浮；飘浮,中
負担,ふたん,～,中
部下,ぶか,～,中
部署,ぶしょ,工作岗位；职守,中
文書,ぶんしょ,文件，文书,中
聞き取り,ききとり,听取,中
補う,おぎなう,弥补,中
募る,つのる,募集；招募,中
豊か,ゆたか,物质上丰富，富裕，充裕,中
膨大,ぼうだい,庞大；巨大,中
防ぐ,ふせぐ,防卫，防守，防御。,中
埋める,うめる,填，埋，放入坑中覆盖,中
労働,ろうどう,劳动；工作；体力劳动。,中
論理,ろんり,逻辑，论理,中
Tシャツ,Ｔしゃつ,T恤,
アウト,あうと,界外球；出局,
アウトライン,あうとらいん,外形；概要,
敢えて,あえて,敢于,
アクセス,あくせす,访问,
足腰,あしこし,腰脚,
預かり,あずかり,收存；保管,
焦り,あせり,焦急,
改めたい,あらためたい,想改变,
ありありと,ありありと,清清楚楚，明明白白,
ありえない,ありえない,不可能,
アルバイト,あるばいと,打工,
合わせる,あわせる,并；合；齐。,
安易,あんい,容易的；不费劲的,
アンケート,あんけーと,通讯调查；征询意见,
安泰,あんたい,安泰，安宁,
委員,いいん,～,
いい加減,いいかげん,适可而止，不过分,
意外,いがい,～,
怒り,いかり,愤怒,
意見,いけん,～,
意思,いし,～,
意識,いしき,～,
一応,いちおう,大致，大体；首先；暂且,
一言,いちげん,～,
一目,いちもく,～,
一貫,いっかん,～,
一切,いっさい,一再；多次,
偽り,いつわり,虚伪；不真实,
田舎,いなか,乡下；农村,
イニシアティブ,いにしあてぃぶ,计划,
イベント,いべんと,事件，活动，大事；集会,
癒す,いやす,治愈,
インストール,いんすとーる,安装,
引退,いんたい,引退，退职。,
失う,うしなう,失常；丢失；失落；丧失；失去,
うすうす,うすうす,微微。稍稍。隐隐约约,
嘘,うそ,谎言，假话,
疑う,うたがう,怀疑，疑惑,
打ち上げ,うちあげ,发射。演出结束。,
訴える,うったえる,诉讼；控告,
腕,うで,～,
奪う,うばう,夺，抢夺，剥夺,
生まれる,うまれる,诞生，产生。,
運用,うんよう,运用，活用。,
営業,えいぎょう,～,
エジソン,えじそん,爱迪生,
エラー,えらー,错误,
エレガント,えれがんと,优美，靓丽,
遠方,えんぽう,～,
折いあい,おりいあい,巧合,
往復,おうふく,来往，往返。,
横暴,おうぼう,残暴,
大枠,おおわく,大致的框架,
落ち着いて,おちついて,冷静点,
親方,おやかた,师傅,
親しまれて,したしまれて,被亲近了,
開口,かいこう,～,
開催,かいさい,举办,
解説,かいせつ,～,
改組,かいそ,～,
階層,かいそう,阶层,
開拓,かいたく,开垦；开荒,
ガイド,がいど,向导，导游。,
書き入れる,かきいれる,填入,
確実,かくじつ,确实；准确,
隔離,かくり,隔离，隔绝,
欠ける,かける,破缺。缺口。,
かさばる,かさばる,太大，太重，太贵,
家事,かじ,家务事，家政。,
カジュアル,かじゅある,简便，轻松。,
糟,かす,酒糟(同さけかす),
貸す,かす,借出；借给,
片方,かたほう,一面。全体，满，一片,
片道,かたみち,单程,
偏り,かたより,偏,
価値観,かちかん,～,
画期的,かっきてき,划时代的,
勝手,かって,任意；随便，为所欲为,
株価,かぶか,股票价格,
かまう,かまう,管，理会，干预；在意，照料,
カラオケ,からおけ,伴唱机，卡拉OK。,
観光,かんこう,～,
看護師,かんごし,～,
鑑賞,かんしょう,～,
関心,かんしん,～,
鑑定,かんてい,～,
芳しい,かんばしい,芬芳,
願望,がんぼう,～,
基準,きじゅん,～,
帰省,きせい,归乡，回乡（探亲）,
競う,きそう,竞争；争夺；竞赛,
鍛える,きたえる,锻造，打制，锤炼。,
貴重,きちょう,～,
キャッチボール,きゃっちぼーる,投接球练习，投球戏。,
休養,きゅうよう,～,
丘陵,きゅうりょう,～,
供述,きょうじゅつ,供述，口供。,
強制,きょうせい,～,
業績,ぎょうせき,～,
競争,きょうそう,～,
共有,きょうゆう,一物有多数人所共有,
拒絶,きょぜつ,～,
緊張,きんちょう,～,
筋肉,きんにく,肌肉，筋肉。,
クイズ,くいず,猜谜,
駆除,くじょ,～,
具体,ぐたい,～,
悔しい,くやしい,后悔,
クリア,くりあ,清除,
グループ,ぐるーぷ,组合,
グループごとに,ぐるーぷごとに,每个组,
苦労,くろう,辛苦,
経営,けいえい,～,
啓蒙,けいもう,～,
結成,けっせい,组成,
嫌悪,けんお,讨厌,
嫌悪感,けんおかん,厌恶之情,
言及,げんきゅう,提及；说到,
堅実,けんじつ,～,
現実,げんじつ,～,
研修,けんしゅう,～,
献身,けんしん,～,
建設,けんせつ,～,
減量,げんりょう,～,
コインロッカー,こいんろっかー,投币式自动存放柜,
広告,こうこく,～,
こうした,こうした,这种，这样的。,
交渉,こうしょう,关系；联系。谈判；交涉。,
構造,こうぞう,～,
交代,こうたい,交替，轮流，替换。,
好調,こうちょう,顺利，情况良好。,
行動,こうどう,～,
候補,こうほ,～,
恒例,こうれい,惯例；常规,
コース,こーす,道路，路线,
コーナー,こーなー,角，拐角，角落,
顧客,こきゃく,～,
告白,こくはく,～,
異なる,ことなる,不同，不一样。,
コピー,こぴー,复制,
こぼれた,こぼれた,洒落。溢出。凋落。流出。,
コマーシャル,こまーしゃる,商业的，商务的；商业广告,
こもって,こもって,充满气体；闷；幽闭,
娯楽,ごらく,～,
根気,こんき,耐性，耐心，毅力,
根拠,こんきょ,根据，依据。,
コントロール,こんとろーる,管控，控制,
コンポレックス,こんぽれっくす,复合体,
サークル,さーくる,圆圈；圆周；小组，班,
災害,さいがい,～,
在庫,ざいこ,库存。存货。,
最適,さいてき,最适，最适合，最适度,
サイト,さいと,站点,
栽培,さいばい,～,
サイン,さいん,签名,
冴える,さえる,寒冷,
誘って,さそって,邀请,
雑貨,ざっか,～,
斬新,ざんしん,～,
山頂,さんちょう,～,
残留,ざんりゅう,～,
ジーンズ,じーんず,牛仔裤,
仕方,しかた,方法,
しかも,しかも,而且,
次期,じき,下期,
しくじって,しくじって,失败了,
仕組み,しくみ,工作原理,
資源,しげん,～,
死語,しご,已不使用的语言，死语，废词,
支持,しじ,～,
システム,しすてむ,系统,
自責,じせき,～,
視線,しせん,～,
事態,じたい,～,
辞退,じたい,～,
従う,したがう,跟随,
下書,したがき,草稿；底稿,
縛る,しばる,捆；绑,
しぶっていた,しぶっていた,不痛快,
しぶとい,しぶとい,顽强的；倔强的,
地味,じみ,朴素,
指名,しめい,～,
市役所,しやくしょ,市政府,
遮断,しゃだん,～,
若干,じゃっかん,多少。若干。几多。,
ジャム,じゃむ,果（子）酱。,
シャンプー,しゃんぷー,洗发精。,
修業,しゅうぎょう,～,
集合,しゅうごう,～,
集中,しゅうちゅう,～,
習得,しゅうとく,～,
柔軟,じゅうなん,～,
住民,じゅうみん,～,
収容,しゅうよう,～,
就労,しゅうろう,工作,
熟知,じゅくち,熟悉。,
取材,しゅざい,～,
手段,しゅだん,～,
主導,しゅどう,主导，主动,
趣味,しゅみ,～,
主役,しゅやく,主要人物。主角。,
種類,しゅるい,～,
順位,じゅんい,名次，位次，席次，等级。,
瞬間,しゅんかん,～,
常識,じょうしき,～,
上昇,じょうしょう,上升,
上達,じょうたつ,进步，学术和技术等提高。,
衝動,しょうどう,打击，震惊。冲动。,
承認,しょうにん,～,
賞品,しょうひん,赏品，奖品。,
上品,じょうひん,～,
勝負,しょうぶ,～,
職業,しょくぎょう,～,
植物,しょくぶつ,～,
所持,しょじ,～,
書体,しょたい,字体，笔体。,
書評,しょひょう,～,
自立,じりつ,自立，独立,
心境,しんきょう,心境，心情，精神状态,
親戚,しんせき,～,
しんどくて,しんどくて,疲劳；累,
真面目,しんめんもく,～,
真理,しんり,～,
推進,すいしん,～,
すいすいと,すいすいと,轻快地；进展顺利；畅通无阻,
推薦,すいせん,推荐,
随筆,ずいひつ,～,
スカーフ,すかーふ,围巾,
スクリーン,すくりーん,屏幕,
スケジュール,すけじゅーる,日程表,
スケッチ,すけっち,草图,
進められて,すすめられて,被推进了,
勧める,すすめる,劝，劝告，劝诱。,
すっかり,すっかり,完全,
スポーツジム,すぽーつじむ,健身房，体育馆。,
スマートフォン,すまーとふぉん,智能手机,
速やか,すみやか,快，迅速；及时。,
スムーズ,すむーず,光滑，平滑；流畅,
すらいすして,すらいすして,随便劝说,
精一杯,せいいっぱい,竭尽全力,
制作,せいさく,～,
製作,せいさく,制造,
生鮮,せいせん,新鲜,
清掃,せいそう,打扫,
精度,せいど,～,
成分,せいぶん,～,
せかせかと,せかせかと,急急忙忙；慌慌张张,
世帯,せたい,家庭，,
絶景,ぜっけい,绝景，绝佳景色。,
切実,せつじつ,切实，迫切，殷切。,
設立,せつりつ,设立，成立。,
セミナー,せみなー,研讨会。,
セリフ,せりふ,台词,
選考,せんこう,选拔。,
選択,せんたく,～,
専門,せんもん,专门；专业；专长。,
洗練,せんれん,洗练；精炼,
沿う,そう,沿着,
即断,そくだん,立即决定,
損傷,そんしょう,～,
退場,たいじょう,退席，退场，退出。,
代替,だいたい,～,
態度,たいど,～,
ダウン,だうん,落下，降落，下降,
多少,たしょう,～,
多数,たすう,～,
経った,たった,过了,
打破,だは,～,
嘆,たん,叹气,
探求,たんきゅう,～,
淡々,たんたん,淡淡,
チェック,ちぇっく,～,
違う,ちがう,不同 ，差别，不一样；错误,
遅刻,ちこく,～,
地図,ちず,～,
ちっとも,ちっとも,一点儿也（不）,
調達,ちょうたつ,筹措,
著作,ちょさく,～,
直感,ちょっかん,～,
つかの間,つかのま,特别短的时间,
突き止める,つきとめる,追究，彻底查明。找到，查明,
務める,つとめる,职务；担任,
提案,ていあん,～,
抵抗,ていこう,～,
程度,ていど,～,
丁寧,ていねい,小心谨慎，周到，细心,
低迷,ていめい,低垂；弥漫；低迷,
テーマ,てーま,主题,
てこずる,てこずる,棘手；难对付,
デザイン,でざいん,设计,
転職,てんしょく,～,
天然,てんねん,～,
倒産,とうさん,～,
到達,とうたつ,～,
都会,とかい,城市,
読者,どくしゃ,～,
特殊,とくしゅ,～,
独立,どくりつ,～,
届い,とどい,够得着,
とにかく,とにかく,总之,
徒歩,とほ,～,
トラック,とらっく,卡车,
トラブル,とらぶる,纠纷，纠葛;纷争;麻烦。,
なだめられて,なだめられて,劝解，抚慰，缓和情绪。,
農家,のうか,～,
農業,のうぎょう,～,
農林,のうりん,～,
残る,のこる,～,
臨む,のぞむ,面临；面对,
則る,のっとる,根据,
述べる,のべる,讲，说明；记述,
乗り出す,のりだす,乘……出去。挺出，探出,
のろのろと,のろのろと,迟缓；慢吞吞的,
廃棄物,はいきぶつ,～,
ハイキング,はいきんぐ,郊游，远足,
媒体,ばいたい,媒介物，手段，,
配分,はいぶん,分配,
俳優,はいゆう,演员,
配列,はいれつ,排列。,
漠然,ばくぜん,含混，含糊；笼统。,
励ます,はげます,鼓励，激励，勉励,
挟む,はさむ,插入；夹住；隔；插（话）,
はっきり,はっきり,清清楚楚,
パッケージ,ぱっけーじ,包装。,
発見,はっけん,～,
伐採,ばっさい,～,
抜粋,ばっすい,摘录，集锦。,
発送,はっそう,～,
発電,はつでん,～,
発売,はつばい,卖，发售，出售,
発表,はっぴょう,～,
ハム,はむ,火腿,
バランス,ばらんす,平衡，平均，均衡。,
範囲,はんい,～,
晩年,ばんねん,～,
反論,はんろん,反论，反驳,
ピーク,ぴーく,山顶，山巅，顶峰,
被害者,ひがいしゃ,～,
日帰り,ひがえり,当天去当天回。,
比較,ひかく,～,
惹かれる,ひかれる,心被吸引了,
引き換え,ひきかえ,交换，兑换，更换,
引き取り,ひきとり,退回，退出，领取，取回,
日頃,ひごろ,平时,
美術,びじゅつ,～,
微笑,びしょう,～,
ピックアップ,ぴっくあっぷ,拾起，选出。,
ヒット,ひっと,打中，大成功，大受欢迎,
人並,ひとなみ,普通；一般,
皮肉,ひにく,讽刺,
備品,びひん,～,
微妙,びみょう,～,
表情,ひょうじょう,～,
表明,ひょうめい,～,
敏感,びんかん,～,
品質,ひんしつ,～,
ファイル,ふぁいる,～,
ファミリー,ふぁみりー,家族,
フォーム,ふぉーむ,形式，样式，型。姿势。,
不景気,ふけいき,不景气，萧条,
無事,ぶじ,～,
伏せる,ふせる,隐藏,
復活,ふっかつ,～,
ぶつかる,ぶつかる,碰，撞。猛地接触上。,
ふと,ふと,偶然,
不満,ふまん,～,
麓,ふもと,山脚,
プライバシー,ぷらいばしー,隐私,
プライベート,ぷらいべーと,个人的，私人的。,
ふらふらと,ふらふらと,摇摇晃晃；犹豫不定,
ブランド,ぶらんど,牌子，商标。,
振り方,ふりかた,处置，对待（方法）,
プロジェクター,ぷろじぇくたー,投影机，放映机；放画器，幻灯,
ブロック,ぶろっく,块，堆。街区，地段。,
フロント,ふろんと,正面，前面,
雰囲気,ふんいき,气氛，空气。,
文庫,ぶんこ,～,
分別,ぶんべつ,～,
平気,へいき,冷静。不在乎，不介意,
隔たり,へだたり,分歧；间隔,
ベテラン,べてらん,老手，老把式，老练的人。,
弁護士,べんごし,～,
妨害,ぼうがい,妨害，妨碍。,
ホーム,ほーむ,站台，月台。家,
ポスター,ぽすたー,广告画,
掘る,ほる,挖掘,
本格,ほんかく,原则，正规，规范,
本番,ほんばん,正式值班。正式表演,
ぼんやり,ぼんやり,心不在焉；发呆；无所事事,
まったく,まったく,完全地，真，实在。,
まとめる,まとめる,汇集，集中；整理，总结,
間に合う,まにあう,～,
満載,まんさい,满载，载满，装满。,
見学,けんがく,～,
短い,みじかい,～,
自ら,みずから,亲自；自己；亲身,
認める,みとめる,认识，赏识，重视,
南側,みなみがわ,～,
見習う,みならう,见习，学习，模仿。,
身につく,みにつく,掌握（某项技能）。,
魅力,みりょく,～,
無視,むし,～,
むしろ,むしろ,与其……不如……；宁可,
めいめいに,めいめいに,各自；各们；每；本本；每个,
メートル,めーとる,米,
メールアドレス,めーるあどれす,邮件地址,
珍しい,めずらしい,罕见,
メッセージ,めっせーじ,信息,
目につく,めにつく,引人注目,
面識,めんしき,认识,
面倒,めんどう,麻烦,
モデル,もでる,模型,
物語,ものがたり,故事,
養う,やしなう,养育,
野生,やせい,～,
優勝,ゆうしょう,～,
ゆだねられて,ゆだねられて,被委托了,
用意,ようい,～,
余計,よけい,多余，剩下。,
寄せる,よせる,使靠近，使移动，集中；召集,
予防,よぼう,预防。,
読み取る,よみとる,领会，读懂，看明白，理解。,
来期,らいき,下期,
ライバル,らいばる,竞争对手,
ラジオ,らじお,～,
利点,りてん,优点,
ルール,るーる,规则，章程。,
ルックス,るっくす,容貌；仪表,
レイアウト,れいあうと,版面设计,
レシート,れしーと,收款条，收条，收据。,
劣化,れっか,恶化；变坏,
連休,れんきゅう,～,
ロープウエー,ろーぷうえー,索道，钢丝索道，空中吊车,
ローリスク,ろーりすく,低风险,
論文,ろんぶん,～,
脇,わき,腋下；胳膊窝,
わく,わく,逐渐增加；增强；肿胀；优秀,
悪質,あくしつ,质量坏；粗劣,
安価,あんか,廉价，便宜,
安心,あんしん,～,
案内,あんない,引导，向导；导游,
以下のような,いかのような,如下,
意志,いし,～,
異質,いしつ,性质不同,
異動,いどう,调动,
維持,いじ,～,
育てる,そだてる,培育；教育；发展。,
一人一人に,ひとりひとりに,每个人,
一斉に,いっせいに,同时；一齐,
一途,いちず,一心一意；专心,
一連,いちれん,一连串,
印象,いんしょう,印象,
隠す,かくす,隐藏,
運ぶ,はこぶ,搬运，运送。,
運搬,うんぱん,搬运，运输,
営む,いとなむ,经营,
営為,えいい,营，经营;事业,
栄養,えいよう,～,
演じる,えんじる,表演；扮演,
演奏会,えんそうかい,～,
遠ざける,とおざける,躲开，避开，躲远。,
汚れる,よごれる,污染。失去贞操。,
応援,おうえん,支援，援助，救援。,
恩恵,おんけい,～,
恩返し,おんがえし,报恩,
化粧品,けしょうひん,～,
加える,くわえる,加上,
架け橋,かけはし,桥梁。吊桥，栈桥,
過信,かしん,过于相信,
介入,かいにゅう,～,
会計,かいけい,～,
回復,かいふく,～,
快適,かいてき,舒适,
外見,がいけん,外表,
拡張,かくちょう,～,
格好,かっこう,样子，外形，装束，打扮,
格段,かくだん,特别,
隔週,かくしゅう,每隔一周，隔周,
学部,がくぶ,日本旧制大学的本科,
掛け替え,かけがえ,替换,
割安,わりやす,价钱比较便宜。,
活性化,かっせいか,活化作用；活性化,
活用,かつよう,有效地利用；正确地使用,
刈る,かる,割掉,
簡潔にまとめて,かんけつにまとめて,简洁地总结,
緩和,かんわ,～,
観客,かんきゃく,观众,
危険,きけん,～,
危惧,きぐ,畏惧；担心,
基調,きちょう,主音，主调，基调；基准,
基盤,きばん,基础；底座；底子。,
寄りかかった,よりかかった,依靠,
幾多,いくた,许多，无数,
既存,きぞん,原有，已有。,
期間,きかん,～,
帰属,きぞく,跟从，从属；属于,
規制,きせい,规定（章则）；限制，控制。,
記号,きごう,～,
偽,にせ,假，假冒；赝品,
議題,ぎだい,议题，讨论题目。,
議論,ぎろん,～,
喫茶店,きっさてん,茶馆，咖啡馆。,
詰まる,つまる,塞满；堵塞,
休暇,きゅうか,休假,
窮屈,きゅうくつ,瘦小；狭窄；紧,
居眠り,いねむり,打瞌睡,
虚ろ,うつろ,发呆。空虚的样子,
距離,きょり,～,
供給,きょうきゅう,～,
驚嘆,きょうたん,惊叹,
勤勉,きんべん,勤勉，勤劳。,
均質,きんしつ,均质，等质；均质性,
筋書,すじがき,情节；概要,
近頃,ちかごろ,近来;万分;非常,
近隣,きんりん,近邻，邻近,
金融,きんゆう,～,
区民,くみん,～,
駆け付けた,かけつけた,跑到；急忙赶往,
具合,ぐあい,情况,
空しく,むなしく,空的，空洞的,
空間,くうかん,～,
空港,くうこう,机场,
傾向,けいこう,～,
経由,けいゆう,～,
継続,けいぞく,～,
計画,けいかく,～,
警告,けいこく,～,
軽減,けいげん,减轻,
劇場,げきじょう,～,
劇団,げきだん,～,
穴,あな,孔，眼；洞，缺点；漏洞,
結びついた,むすびついた,有联系；连接在一起,
結局,けっきょく,～,
建築,けんちく,～,
見合う,みあう,平衡，均衡，相抵，互相对看。,
見識,けんしき,～,
見失う,みうしなう,看不见，迷失，看丢了,
見守り,みまもり,凝视，注视，关怀。,
見積もる,みつもる,估计，估算，折合,
見定める,みさだめる,看准；看清,
見付ける,みつける,去寻找，去发现,
見聞,けんぶん,～,
謙虚,けんきょ,～,
原稿,げんこう,～,
原点,げんてん,～,
厳粛,げんしゅく,～,
減少,げんしょう,～,
弧,こ,～,
誇る,ほこる,自豪,
雇,やとい,雇用。租用。,
誤った,あやまった,误，搞错，做错，错误,
誤操作,ごそうさ,～,
交差,こうさ,交叉（线路，道路）,
交替,こうたい,～,
公開,こうかい,～,
厚生,こうせい,提高生活；增进健康；保健,
口頭,こうとう,口头（表达）,
工事,こうじ,工程，工事，施工,
幸福,こうふく,～,
広げる,ひろげる,扩大,
構築,こうちく,构筑，建筑。,
行き渡り,いきわたり,普遍。普及,
高額,こうがく,～,
合唱,がっしょう,～,
豪華,ごうか,～,
克明,こくめい,认真仔细，细心，细致,
根源,こんげん,根源，事物的根本,
根本,こんぽん,根本，根源。,
混ざる,まざる,搀混，搀杂，混杂,
些細,ささい,琐碎,
左折,させつ,左转,
差異,さい,～,
座席,ざせき,～,
再認識,さいにんしき,～,
最優先,さいゆうせん,～,
採択,さいたく,选择；通过,
細かく,こまかく,细的,
財政,ざいせい,～,
作動,さどう,发动；工作；运转,
策,さく,计策,
錯誤,さくご,～,
刷り込む,すりこむ,加印上，印刷进去,
皿,さら,碟子,
散乱,さんらん,～,
賛成,さんせい,～,
賛同,さんどう,～,
酸味,さんみ,～,
司会,しかい,主持人,
姿,すがた,姿态,
指導,しどう,～,
指標,しひょう,～,
至る,いたる,至，到。至于，达到,
至要,しよう,极重要，至要。,
試行,しこう,试验，试行,
資格,しかく,～,
資材,しざい,资材，材料,
飼う,かう,养,
事実,じじつ,～,
持ち方,もちかた,拿法。,
